"""MTU (CET/CEST)"",""Area"",""Sequence"",""Day-ahead Price (EUR/MWh)"",""Intraday Period (CET/CEST)"",""Intraday Price (EUR/MWh)"""
"26/03/2024 23:00:00 - 27/03/2024 00:00:00,""BZN|NO3"",""Without Sequence"",""55.17"","""","""""
"27/03/2024 00:00:00 - 27/03/2024 01:00:00,""BZN|NO3"",""Without Sequence"",""50.55"","""","""""
"27/03/2024 01:00:00 - 27/03/2024 02:00:00,""BZN|NO3"",""Without Sequence"",""48.42"","""","""""
"27/03/2024 02:00:00 - 27/03/2024 03:00:00,""BZN|NO3"",""Without Sequence"",""46.48"","""","""""
"27/03/2024 03:00:00 - 27/03/2024 04:00:00,""BZN|NO3"",""Without Sequence"",""46.46"","""","""""
"27/03/2024 04:00:00 - 27/03/2024 05:00:00,""BZN|NO3"",""Without Sequence"",""46.97"","""","""""
"27/03/2024 05:00:00 - 27/03/2024 06:00:00,""BZN|NO3"",""Without Sequence"",""47.69"","""","""""
"27/03/2024 06:00:00 - 27/03/2024 07:00:00,""BZN|NO3"",""Without Sequence"",""56.89"","""","""""
"27/03/2024 07:00:00 - 27/03/2024 08:00:00,""BZN|NO3"",""Without Sequence"",""58.91"","""","""""
"27/03/2024 08:00:00 - 27/03/2024 09:00:00,""BZN|NO3"",""Without Sequence"",""61.80"","""","""""
"27/03/2024 09:00:00 - 27/03/2024 10:00:00,""BZN|NO3"",""Without Sequence"",""61.39"","""","""""
"27/03/2024 10:00:00 - 27/03/2024 11:00:00,""BZN|NO3"",""Without Sequence"",""63.20"","""","""""
"27/03/2024 11:00:00 - 27/03/2024 12:00:00,""BZN|NO3"",""Without Sequence"",""62.46"","""","""""
"27/03/2024 12:00:00 - 27/03/2024 13:00:00,""BZN|NO3"",""Without Sequence"",""63.24"","""","""""
"27/03/2024 13:00:00 - 27/03/2024 14:00:00,""BZN|NO3"",""Without Sequence"",""63.22"","""","""""
"27/03/2024 14:00:00 - 27/03/2024 15:00:00,""BZN|NO3"",""Without Sequence"",""61.67"","""","""""
"27/03/2024 15:00:00 - 27/03/2024 16:00:00,""BZN|NO3"",""Without Sequence"",""60.95"","""","""""
"27/03/2024 16:00:00 - 27/03/2024 17:00:00,""BZN|NO3"",""Without Sequence"",""60.94"","""","""""
"27/03/2024 17:00:00 - 27/03/2024 18:00:00,""BZN|NO3"",""Without Sequence"",""60.91"","""","""""
"27/03/2024 18:00:00 - 27/03/2024 19:00:00,""BZN|NO3"",""Without Sequence"",""60.53"","""","""""
"27/03/2024 19:00:00 - 27/03/2024 20:00:00,""BZN|NO3"",""Without Sequence"",""60.34"","""","""""
"27/03/2024 20:00:00 - 27/03/2024 21:00:00,""BZN|NO3"",""Without Sequence"",""59.03"","""","""""
"27/03/2024 21:00:00 - 27/03/2024 22:00:00,""BZN|NO3"",""Without Sequence"",""56.59"","""","""""
"27/03/2024 22:00:00 - 27/03/2024 23:00:00,""BZN|NO3"",""Without Sequence"",""48.25"","""","""""
"27/03/2024 23:00:00 - 28/03/2024 00:00:00,""BZN|NO3"",""Without Sequence"",""51.79"","""","""""
"28/03/2024 00:00:00 - 28/03/2024 01:00:00,""BZN|NO3"",""Without Sequence"",""39.56"","""","""""
"28/03/2024 01:00:00 - 28/03/2024 02:00:00,""BZN|NO3"",""Without Sequence"",""40.71"","""","""""
"28/03/2024 02:00:00 - 28/03/2024 03:00:00,""BZN|NO3"",""Without Sequence"",""47.20"","""","""""
"28/03/2024 03:00:00 - 28/03/2024 04:00:00,""BZN|NO3"",""Without Sequence"",""56.46"","""","""""
"28/03/2024 04:00:00 - 28/03/2024 05:00:00,""BZN|NO3"",""Without Sequence"",""55.74"","""","""""
"28/03/2024 05:00:00 - 28/03/2024 06:00:00,""BZN|NO3"",""Without Sequence"",""56.46"","""","""""
"28/03/2024 06:00:00 - 28/03/2024 07:00:00,""BZN|NO3"",""Without Sequence"",""57.66"","""","""""
"28/03/2024 07:00:00 - 28/03/2024 08:00:00,""BZN|NO3"",""Without Sequence"",""59.00"","""","""""
"28/03/2024 08:00:00 - 28/03/2024 09:00:00,""BZN|NO3"",""Without Sequence"",""57.73"","""","""""
"28/03/2024 09:00:00 - 28/03/2024 10:00:00,""BZN|NO3"",""Without Sequence"",""56.28"","""","""""
"28/03/2024 10:00:00 - 28/03/2024 11:00:00,""BZN|NO3"",""Without Sequence"",""54.03"","""","""""
"28/03/2024 11:00:00 - 28/03/2024 12:00:00,""BZN|NO3"",""Without Sequence"",""51.82"","""","""""
"28/03/2024 12:00:00 - 28/03/2024 13:00:00,""BZN|NO3"",""Without Sequence"",""50.75"","""","""""
"28/03/2024 13:00:00 - 28/03/2024 14:00:00,""BZN|NO3"",""Without Sequence"",""49.66"","""","""""
"28/03/2024 14:00:00 - 28/03/2024 15:00:00,""BZN|NO3"",""Without Sequence"",""49.43"","""","""""
"28/03/2024 15:00:00 - 28/03/2024 16:00:00,""BZN|NO3"",""Without Sequence"",""37.10"","""","""""
"28/03/2024 16:00:00 - 28/03/2024 17:00:00,""BZN|NO3"",""Without Sequence"",""36.23"","""","""""
"28/03/2024 17:00:00 - 28/03/2024 18:00:00,""BZN|NO3"",""Without Sequence"",""44.33"","""","""""
"28/03/2024 18:00:00 - 28/03/2024 19:00:00,""BZN|NO3"",""Without Sequence"",""43.69"","""","""""
"28/03/2024 19:00:00 - 28/03/2024 20:00:00,""BZN|NO3"",""Without Sequence"",""42.52"","""","""""
"28/03/2024 20:00:00 - 28/03/2024 21:00:00,""BZN|NO3"",""Without Sequence"",""38.92"","""","""""
"28/03/2024 21:00:00 - 28/03/2024 22:00:00,""BZN|NO3"",""Without Sequence"",""36.10"","""","""""
"28/03/2024 22:00:00 - 28/03/2024 23:00:00,""BZN|NO3"",""Without Sequence"",""31.12"","""","""""
"28/03/2024 23:00:00 - 29/03/2024 00:00:00,""BZN|NO3"",""Without Sequence"",""24.08"","""","""""
"29/03/2024 00:00:00 - 29/03/2024 01:00:00,""BZN|NO3"",""Without Sequence"",""23.29"","""","""""
"29/03/2024 01:00:00 - 29/03/2024 02:00:00,""BZN|NO3"",""Without Sequence"",""22.93"","""","""""
"29/03/2024 02:00:00 - 29/03/2024 03:00:00,""BZN|NO3"",""Without Sequence"",""22.66"","""","""""
"29/03/2024 03:00:00 - 29/03/2024 04:00:00,""BZN|NO3"",""Without Sequence"",""22.47"","""","""""
"29/03/2024 04:00:00 - 29/03/2024 05:00:00,""BZN|NO3"",""Without Sequence"",""22.43"","""","""""
"29/03/2024 05:00:00 - 29/03/2024 06:00:00,""BZN|NO3"",""Without Sequence"",""22.35"","""","""""
"29/03/2024 06:00:00 - 29/03/2024 07:00:00,""BZN|NO3"",""Without Sequence"",""22.63"","""","""""
"29/03/2024 07:00:00 - 29/03/2024 08:00:00,""BZN|NO3"",""Without Sequence"",""23.01"","""","""""
"29/03/2024 08:00:00 - 29/03/2024 09:00:00,""BZN|NO3"",""Without Sequence"",""23.27"","""","""""
"29/03/2024 09:00:00 - 29/03/2024 10:00:00,""BZN|NO3"",""Without Sequence"",""23.62"","""","""""
"29/03/2024 10:00:00 - 29/03/2024 11:00:00,""BZN|NO3"",""Without Sequence"",""23.79"","""","""""
"29/03/2024 11:00:00 - 29/03/2024 12:00:00,""BZN|NO3"",""Without Sequence"",""23.59"","""","""""
"29/03/2024 12:00:00 - 29/03/2024 13:00:00,""BZN|NO3"",""Without Sequence"",""23.58"","""","""""
"29/03/2024 13:00:00 - 29/03/2024 14:00:00,""BZN|NO3"",""Without Sequence"",""23.63"","""","""""
"29/03/2024 14:00:00 - 29/03/2024 15:00:00,""BZN|NO3"",""Without Sequence"",""24.16"","""","""""
"29/03/2024 15:00:00 - 29/03/2024 16:00:00,""BZN|NO3"",""Without Sequence"",""42.12"","""","""""
"29/03/2024 16:00:00 - 29/03/2024 17:00:00,""BZN|NO3"",""Without Sequence"",""39.70"","""","""""
"29/03/2024 17:00:00 - 29/03/2024 18:00:00,""BZN|NO3"",""Without Sequence"",""42.32"","""","""""
"29/03/2024 18:00:00 - 29/03/2024 19:00:00,""BZN|NO3"",""Without Sequence"",""43.56"","""","""""
"29/03/2024 19:00:00 - 29/03/2024 20:00:00,""BZN|NO3"",""Without Sequence"",""45.00"","""","""""
"29/03/2024 20:00:00 - 29/03/2024 21:00:00,""BZN|NO3"",""Without Sequence"",""44.92"","""","""""
"29/03/2024 21:00:00 - 29/03/2024 22:00:00,""BZN|NO3"",""Without Sequence"",""49.91"","""","""""
"29/03/2024 22:00:00 - 29/03/2024 23:00:00,""BZN|NO3"",""Without Sequence"",""51.97"","""","""""
"29/03/2024 23:00:00 - 30/03/2024 00:00:00,""BZN|NO3"",""Without Sequence"",""54.99"","""","""""
"30/03/2024 00:00:00 - 30/03/2024 01:00:00,""BZN|NO3"",""Without Sequence"",""38.45"","""","""""
"30/03/2024 01:00:00 - 30/03/2024 02:00:00,""BZN|NO3"",""Without Sequence"",""38.82"","""","""""
"30/03/2024 02:00:00 - 30/03/2024 03:00:00,""BZN|NO3"",""Without Sequence"",""38.81"","""","""""
"30/03/2024 03:00:00 - 30/03/2024 04:00:00,""BZN|NO3"",""Without Sequence"",""44.93"","""","""""
"30/03/2024 04:00:00 - 30/03/2024 05:00:00,""BZN|NO3"",""Without Sequence"",""56.27"","""","""""
"30/03/2024 05:00:00 - 30/03/2024 06:00:00,""BZN|NO3"",""Without Sequence"",""56.29"","""","""""
"30/03/2024 06:00:00 - 30/03/2024 07:00:00,""BZN|NO3"",""Without Sequence"",""54.53"","""","""""
"30/03/2024 07:00:00 - 30/03/2024 08:00:00,""BZN|NO3"",""Without Sequence"",""52.62"","""","""""
"30/03/2024 08:00:00 - 30/03/2024 09:00:00,""BZN|NO3"",""Without Sequence"",""51.91"","""","""""
"30/03/2024 09:00:00 - 30/03/2024 10:00:00,""BZN|NO3"",""Without Sequence"",""51.85"","""","""""
"30/03/2024 10:00:00 - 30/03/2024 11:00:00,""BZN|NO3"",""Without Sequence"",""51.83"","""","""""
"30/03/2024 11:00:00 - 30/03/2024 12:00:00,""BZN|NO3"",""Without Sequence"",""51.45"","""","""""
"30/03/2024 12:00:00 - 30/03/2024 13:00:00,""BZN|NO3"",""Without Sequence"",""49.66"","""","""""
"30/03/2024 13:00:00 - 30/03/2024 14:00:00,""BZN|NO3"",""Without Sequence"",""49.65"","""","""""
"30/03/2024 14:00:00 - 30/03/2024 15:00:00,""BZN|NO3"",""Without Sequence"",""48.92"","""","""""
"30/03/2024 15:00:00 - 30/03/2024 16:00:00,""BZN|NO3"",""Without Sequence"",""48.91"","""","""""
"30/03/2024 16:00:00 - 30/03/2024 17:00:00,""BZN|NO3"",""Without Sequence"",""51.29"","""","""""
"30/03/2024 17:00:00 - 30/03/2024 18:00:00,""BZN|NO3"",""Without Sequence"",""56.66"","""","""""
"30/03/2024 18:00:00 - 30/03/2024 19:00:00,""BZN|NO3"",""Without Sequence"",""57.49"","""","""""
"30/03/2024 19:00:00 - 30/03/2024 20:00:00,""BZN|NO3"",""Without Sequence"",""57.59"","""","""""
"30/03/2024 20:00:00 - 30/03/2024 21:00:00,""BZN|NO3"",""Without Sequence"",""57.51"","""","""""
"30/03/2024 21:00:00 - 30/03/2024 22:00:00,""BZN|NO3"",""Without Sequence"",""57.32"","""","""""
"30/03/2024 22:00:00 - 30/03/2024 23:00:00,""BZN|NO3"",""Without Sequence"",""57.45"","""","""""
"30/03/2024 23:00:00 - 31/03/2024 00:00:00,""BZN|NO3"",""Without Sequence"",""57.00"","""","""""
"31/03/2024 00:00:00 - 31/03/2024 01:00:00 (CET),""BZN|NO3"",""Without Sequence"",""57.18"","""","""""
"31/03/2024 01:00:00 (CET) - 31/03/2024 03:00:00 (CEST),""BZN|NO3"",""Without Sequence"",""56.96"","""","""""
"31/03/2024 03:00:00 (CEST) - 31/03/2024 04:00:00,""BZN|NO3"",""Without Sequence"",""56.84"","""","""""
"31/03/2024 04:00:00 - 31/03/2024 05:00:00,""BZN|NO3"",""Without Sequence"",""56.85"","""","""""
"31/03/2024 05:00:00 - 31/03/2024 06:00:00,""BZN|NO3"",""Without Sequence"",""56.92"","""","""""
"31/03/2024 06:00:00 - 31/03/2024 07:00:00,""BZN|NO3"",""Without Sequence"",""57.12"","""","""""
"31/03/2024 07:00:00 - 31/03/2024 08:00:00,""BZN|NO3"",""Without Sequence"",""56.98"","""","""""
"31/03/2024 08:00:00 - 31/03/2024 09:00:00,""BZN|NO3"",""Without Sequence"",""56.21"","""","""""
"31/03/2024 09:00:00 - 31/03/2024 10:00:00,""BZN|NO3"",""Without Sequence"",""53.84"","""","""""
"31/03/2024 10:00:00 - 31/03/2024 11:00:00,""BZN|NO3"",""Without Sequence"",""50.64"","""","""""
"31/03/2024 11:00:00 - 31/03/2024 12:00:00,""BZN|NO3"",""Without Sequence"",""50.73"","""","""""
"31/03/2024 12:00:00 - 31/03/2024 13:00:00,""BZN|NO3"",""Without Sequence"",""50.76"","""","""""
"31/03/2024 13:00:00 - 31/03/2024 14:00:00,""BZN|NO3"",""Without Sequence"",""50.79"","""","""""
"31/03/2024 14:00:00 - 31/03/2024 15:00:00,""BZN|NO3"",""Without Sequence"",""53.10"","""","""""
"31/03/2024 15:00:00 - 31/03/2024 16:00:00,""BZN|NO3"",""Without Sequence"",""55.23"","""","""""
"31/03/2024 16:00:00 - 31/03/2024 17:00:00,""BZN|NO3"",""Without Sequence"",""55.42"","""","""""
"31/03/2024 17:00:00 - 31/03/2024 18:00:00,""BZN|NO3"",""Without Sequence"",""55.11"","""","""""
"31/03/2024 18:00:00 - 31/03/2024 19:00:00,""BZN|NO3"",""Without Sequence"",""57.62"","""","""""
"31/03/2024 19:00:00 - 31/03/2024 20:00:00,""BZN|NO3"",""Without Sequence"",""58.60"","""","""""
"31/03/2024 20:00:00 - 31/03/2024 21:00:00,""BZN|NO3"",""Without Sequence"",""58.66"","""","""""
"31/03/2024 21:00:00 - 31/03/2024 22:00:00,""BZN|NO3"",""Without Sequence"",""58.40"","""","""""
"31/03/2024 22:00:00 - 31/03/2024 23:00:00,""BZN|NO3"",""Without Sequence"",""57.64"","""","""""
"31/03/2024 23:00:00 - 01/04/2024 00:00:00,""BZN|NO3"",""Without Sequence"",""55.31"","""","""""
"01/04/2024 00:00:00 - 01/04/2024 01:00:00,""BZN|NO3"",""Without Sequence"",""53.18"","""","""""
"01/04/2024 01:00:00 - 01/04/2024 02:00:00,""BZN|NO3"",""Without Sequence"",""49.65"","""","""""
"01/04/2024 02:00:00 - 01/04/2024 03:00:00,""BZN|NO3"",""Without Sequence"",""47.90"","""","""""
"01/04/2024 03:00:00 - 01/04/2024 04:00:00,""BZN|NO3"",""Without Sequence"",""47.63"","""","""""
"01/04/2024 04:00:00 - 01/04/2024 05:00:00,""BZN|NO3"",""Without Sequence"",""39.56"","""","""""
"01/04/2024 05:00:00 - 01/04/2024 06:00:00,""BZN|NO3"",""Without Sequence"",""36.49"","""","""""
"01/04/2024 06:00:00 - 01/04/2024 07:00:00,""BZN|NO3"",""Without Sequence"",""36.88"","""","""""
"01/04/2024 07:00:00 - 01/04/2024 08:00:00,""BZN|NO3"",""Without Sequence"",""40.25"","""","""""
"01/04/2024 08:00:00 - 01/04/2024 09:00:00,""BZN|NO3"",""Without Sequence"",""42.37"","""","""""
"01/04/2024 09:00:00 - 01/04/2024 10:00:00,""BZN|NO3"",""Without Sequence"",""50.30"","""","""""
"01/04/2024 10:00:00 - 01/04/2024 11:00:00,""BZN|NO3"",""Without Sequence"",""54.11"","""","""""
"01/04/2024 11:00:00 - 01/04/2024 12:00:00,""BZN|NO3"",""Without Sequence"",""49.83"","""","""""
"01/04/2024 12:00:00 - 01/04/2024 13:00:00,""BZN|NO3"",""Without Sequence"",""48.86"","""","""""
"01/04/2024 13:00:00 - 01/04/2024 14:00:00,""BZN|NO3"",""Without Sequence"",""48.99"","""","""""
"01/04/2024 14:00:00 - 01/04/2024 15:00:00,""BZN|NO3"",""Without Sequence"",""48.86"","""","""""
"01/04/2024 15:00:00 - 01/04/2024 16:00:00,""BZN|NO3"",""Without Sequence"",""48.86"","""","""""
"01/04/2024 16:00:00 - 01/04/2024 17:00:00,""BZN|NO3"",""Without Sequence"",""48.72"","""","""""
"01/04/2024 17:00:00 - 01/04/2024 18:00:00,""BZN|NO3"",""Without Sequence"",""48.74"","""","""""
"01/04/2024 18:00:00 - 01/04/2024 19:00:00,""BZN|NO3"",""Without Sequence"",""48.86"","""","""""
"01/04/2024 19:00:00 - 01/04/2024 20:00:00,""BZN|NO3"",""Without Sequence"",""50.08"","""","""""
"01/04/2024 20:00:00 - 01/04/2024 21:00:00,""BZN|NO3"",""Without Sequence"",""51.48"","""","""""
"01/04/2024 21:00:00 - 01/04/2024 22:00:00,""BZN|NO3"",""Without Sequence"",""48.99"","""","""""
"01/04/2024 22:00:00 - 01/04/2024 23:00:00,""BZN|NO3"",""Without Sequence"",""48.86"","""","""""
"01/04/2024 23:00:00 - 02/04/2024 00:00:00,""BZN|NO3"",""Without Sequence"",""48.85"","""","""""
"02/04/2024 00:00:00 - 02/04/2024 01:00:00,""BZN|NO3"",""Without Sequence"",""45.12"","""","""""
"02/04/2024 01:00:00 - 02/04/2024 02:00:00,""BZN|NO3"",""Without Sequence"",""42.56"","""","""""
"02/04/2024 02:00:00 - 02/04/2024 03:00:00,""BZN|NO3"",""Without Sequence"",""44.83"","""","""""
"02/04/2024 03:00:00 - 02/04/2024 04:00:00,""BZN|NO3"",""Without Sequence"",""44.88"","""","""""
"02/04/2024 04:00:00 - 02/04/2024 05:00:00,""BZN|NO3"",""Without Sequence"",""45.21"","""","""""
"02/04/2024 05:00:00 - 02/04/2024 06:00:00,""BZN|NO3"",""Without Sequence"",""46.62"","""","""""
"02/04/2024 06:00:00 - 02/04/2024 07:00:00,""BZN|NO3"",""Without Sequence"",""50.58"","""","""""
"02/04/2024 07:00:00 - 02/04/2024 08:00:00,""BZN|NO3"",""Without Sequence"",""55.59"","""","""""
"02/04/2024 08:00:00 - 02/04/2024 09:00:00,""BZN|NO3"",""Without Sequence"",""56.05"","""","""""
"02/04/2024 09:00:00 - 02/04/2024 10:00:00,""BZN|NO3"",""Without Sequence"",""51.96"","""","""""
"02/04/2024 10:00:00 - 02/04/2024 11:00:00,""BZN|NO3"",""Without Sequence"",""50.24"","""","""""
"02/04/2024 11:00:00 - 02/04/2024 12:00:00,""BZN|NO3"",""Without Sequence"",""50.10"","""","""""
"02/04/2024 12:00:00 - 02/04/2024 13:00:00,""BZN|NO3"",""Without Sequence"",""49.63"","""","""""
"02/04/2024 13:00:00 - 02/04/2024 14:00:00,""BZN|NO3"",""Without Sequence"",""48.84"","""","""""
"02/04/2024 14:00:00 - 02/04/2024 15:00:00,""BZN|NO3"",""Without Sequence"",""48.40"","""","""""
"02/04/2024 15:00:00 - 02/04/2024 16:00:00,""BZN|NO3"",""Without Sequence"",""47.96"","""","""""
"02/04/2024 16:00:00 - 02/04/2024 17:00:00,""BZN|NO3"",""Without Sequence"",""49.98"","""","""""
"02/04/2024 17:00:00 - 02/04/2024 18:00:00,""BZN|NO3"",""Without Sequence"",""49.67"","""","""""
"02/04/2024 18:00:00 - 02/04/2024 19:00:00,""BZN|NO3"",""Without Sequence"",""48.08"","""","""""
"02/04/2024 19:00:00 - 02/04/2024 20:00:00,""BZN|NO3"",""Without Sequence"",""49.65"","""","""""
"02/04/2024 20:00:00 - 02/04/2024 21:00:00,""BZN|NO3"",""Without Sequence"",""52.38"","""","""""
"02/04/2024 21:00:00 - 02/04/2024 22:00:00,""BZN|NO3"",""Without Sequence"",""54.19"","""","""""
"02/04/2024 22:00:00 - 02/04/2024 23:00:00,""BZN|NO3"",""Without Sequence"",""57.55"","""","""""
"02/04/2024 23:00:00 - 03/04/2024 00:00:00,""BZN|NO3"",""Without Sequence"",""57.20"","""","""""
"03/04/2024 00:00:00 - 03/04/2024 01:00:00,""BZN|NO3"",""Without Sequence"",""51.63"","""","""""
"03/04/2024 01:00:00 - 03/04/2024 02:00:00,""BZN|NO3"",""Without Sequence"",""52.62"","""","""""
"03/04/2024 02:00:00 - 03/04/2024 03:00:00,""BZN|NO3"",""Without Sequence"",""53.73"","""","""""
"03/04/2024 03:00:00 - 03/04/2024 04:00:00,""BZN|NO3"",""Without Sequence"",""54.19"","""","""""
"03/04/2024 04:00:00 - 03/04/2024 05:00:00,""BZN|NO3"",""Without Sequence"",""54.08"","""","""""
"03/04/2024 05:00:00 - 03/04/2024 06:00:00,""BZN|NO3"",""Without Sequence"",""55.07"","""","""""
"03/04/2024 06:00:00 - 03/04/2024 07:00:00,""BZN|NO3"",""Without Sequence"",""56.66"","""","""""
"03/04/2024 07:00:00 - 03/04/2024 08:00:00,""BZN|NO3"",""Without Sequence"",""59.09"","""","""""
"03/04/2024 08:00:00 - 03/04/2024 09:00:00,""BZN|NO3"",""Without Sequence"",""60.00"","""","""""
"03/04/2024 09:00:00 - 03/04/2024 10:00:00,""BZN|NO3"",""Without Sequence"",""59.81"","""","""""
"03/04/2024 10:00:00 - 03/04/2024 11:00:00,""BZN|NO3"",""Without Sequence"",""59.88"","""","""""
"03/04/2024 11:00:00 - 03/04/2024 12:00:00,""BZN|NO3"",""Without Sequence"",""59.29"","""","""""
"03/04/2024 12:00:00 - 03/04/2024 13:00:00,""BZN|NO3"",""Without Sequence"",""58.81"","""","""""
"03/04/2024 13:00:00 - 03/04/2024 14:00:00,""BZN|NO3"",""Without Sequence"",""59.31"","""","""""
"03/04/2024 14:00:00 - 03/04/2024 15:00:00,""BZN|NO3"",""Without Sequence"",""58.51"","""","""""
"03/04/2024 15:00:00 - 03/04/2024 16:00:00,""BZN|NO3"",""Without Sequence"",""57.07"","""","""""
"03/04/2024 16:00:00 - 03/04/2024 17:00:00,""BZN|NO3"",""Without Sequence"",""56.90"","""","""""
"03/04/2024 17:00:00 - 03/04/2024 18:00:00,""BZN|NO3"",""Without Sequence"",""59.26"","""","""""
"03/04/2024 18:00:00 - 03/04/2024 19:00:00,""BZN|NO3"",""Without Sequence"",""62.97"","""","""""
"03/04/2024 19:00:00 - 03/04/2024 20:00:00,""BZN|NO3"",""Without Sequence"",""64.23"","""","""""
"03/04/2024 20:00:00 - 03/04/2024 21:00:00,""BZN|NO3"",""Without Sequence"",""61.53"","""","""""
"03/04/2024 21:00:00 - 03/04/2024 22:00:00,""BZN|NO3"",""Without Sequence"",""58.46"","""","""""
"03/04/2024 22:00:00 - 03/04/2024 23:00:00,""BZN|NO3"",""Without Sequence"",""57.67"","""","""""
"03/04/2024 23:00:00 - 04/04/2024 00:00:00,""BZN|NO3"",""Without Sequence"",""55.33"","""","""""
"04/04/2024 00:00:00 - 04/04/2024 01:00:00,""BZN|NO3"",""Without Sequence"",""54.52"","""","""""
"04/04/2024 01:00:00 - 04/04/2024 02:00:00,""BZN|NO3"",""Without Sequence"",""52.01"","""","""""
"04/04/2024 02:00:00 - 04/04/2024 03:00:00,""BZN|NO3"",""Without Sequence"",""50.17"","""","""""
"04/04/2024 03:00:00 - 04/04/2024 04:00:00,""BZN|NO3"",""Without Sequence"",""51.57"","""","""""
"04/04/2024 04:00:00 - 04/04/2024 05:00:00,""BZN|NO3"",""Without Sequence"",""51.94"","""","""""
"04/04/2024 05:00:00 - 04/04/2024 06:00:00,""BZN|NO3"",""Without Sequence"",""54.08"","""","""""
"04/04/2024 06:00:00 - 04/04/2024 07:00:00,""BZN|NO3"",""Without Sequence"",""57.21"","""","""""
"04/04/2024 07:00:00 - 04/04/2024 08:00:00,""BZN|NO3"",""Without Sequence"",""63.57"","""","""""
"04/04/2024 08:00:00 - 04/04/2024 09:00:00,""BZN|NO3"",""Without Sequence"",""73.15"","""","""""
"04/04/2024 09:00:00 - 04/04/2024 10:00:00,""BZN|NO3"",""Without Sequence"",""69.71"","""","""""
"04/04/2024 10:00:00 - 04/04/2024 11:00:00,""BZN|NO3"",""Without Sequence"",""67.17"","""","""""
"04/04/2024 11:00:00 - 04/04/2024 12:00:00,""BZN|NO3"",""Without Sequence"",""63.06"","""","""""
"04/04/2024 12:00:00 - 04/04/2024 13:00:00,""BZN|NO3"",""Without Sequence"",""58.08"","""","""""
"04/04/2024 13:00:00 - 04/04/2024 14:00:00,""BZN|NO3"",""Without Sequence"",""56.22"","""","""""
"04/04/2024 14:00:00 - 04/04/2024 15:00:00,""BZN|NO3"",""Without Sequence"",""55.49"","""","""""
"04/04/2024 15:00:00 - 04/04/2024 16:00:00,""BZN|NO3"",""Without Sequence"",""56.17"","""","""""
"04/04/2024 16:00:00 - 04/04/2024 17:00:00,""BZN|NO3"",""Without Sequence"",""57.08"","""","""""
"04/04/2024 17:00:00 - 04/04/2024 18:00:00,""BZN|NO3"",""Without Sequence"",""57.83"","""","""""
"04/04/2024 18:00:00 - 04/04/2024 19:00:00,""BZN|NO3"",""Without Sequence"",""57.50"","""","""""
"04/04/2024 19:00:00 - 04/04/2024 20:00:00,""BZN|NO3"",""Without Sequence"",""57.28"","""","""""
"04/04/2024 20:00:00 - 04/04/2024 21:00:00,""BZN|NO3"",""Without Sequence"",""57.65"","""","""""
"04/04/2024 21:00:00 - 04/04/2024 22:00:00,""BZN|NO3"",""Without Sequence"",""58.85"","""","""""
"04/04/2024 22:00:00 - 04/04/2024 23:00:00,""BZN|NO3"",""Without Sequence"",""57.21"","""","""""
"04/04/2024 23:00:00 - 05/04/2024 00:00:00,""BZN|NO3"",""Without Sequence"",""56.00"","""","""""
"05/04/2024 00:00:00 - 05/04/2024 01:00:00,""BZN|NO3"",""Without Sequence"",""46.78"","""","""""
"05/04/2024 01:00:00 - 05/04/2024 02:00:00,""BZN|NO3"",""Without Sequence"",""48.27"","""","""""
"05/04/2024 02:00:00 - 05/04/2024 03:00:00,""BZN|NO3"",""Without Sequence"",""47.52"","""","""""
"05/04/2024 03:00:00 - 05/04/2024 04:00:00,""BZN|NO3"",""Without Sequence"",""46.53"","""","""""
"05/04/2024 04:00:00 - 05/04/2024 05:00:00,""BZN|NO3"",""Without Sequence"",""47.34"","""","""""
"05/04/2024 05:00:00 - 05/04/2024 06:00:00,""BZN|NO3"",""Without Sequence"",""47.29"","""","""""
"05/04/2024 06:00:00 - 05/04/2024 07:00:00,""BZN|NO3"",""Without Sequence"",""50.99"","""","""""
"05/04/2024 07:00:00 - 05/04/2024 08:00:00,""BZN|NO3"",""Without Sequence"",""56.92"","""","""""
"05/04/2024 08:00:00 - 05/04/2024 09:00:00,""BZN|NO3"",""Without Sequence"",""61.27"","""","""""
"05/04/2024 09:00:00 - 05/04/2024 10:00:00,""BZN|NO3"",""Without Sequence"",""59.96"","""","""""
"05/04/2024 10:00:00 - 05/04/2024 11:00:00,""BZN|NO3"",""Without Sequence"",""50.50"","""","""""
"05/04/2024 11:00:00 - 05/04/2024 12:00:00,""BZN|NO3"",""Without Sequence"",""47.32"","""","""""
"05/04/2024 12:00:00 - 05/04/2024 13:00:00,""BZN|NO3"",""Without Sequence"",""48.00"","""","""""
"05/04/2024 13:00:00 - 05/04/2024 14:00:00,""BZN|NO3"",""Without Sequence"",""48.02"","""","""""
"05/04/2024 14:00:00 - 05/04/2024 15:00:00,""BZN|NO3"",""Without Sequence"",""48.08"","""","""""
"05/04/2024 15:00:00 - 05/04/2024 16:00:00,""BZN|NO3"",""Without Sequence"",""48.10"","""","""""
"05/04/2024 16:00:00 - 05/04/2024 17:00:00,""BZN|NO3"",""Without Sequence"",""48.12"","""","""""
"05/04/2024 17:00:00 - 05/04/2024 18:00:00,""BZN|NO3"",""Without Sequence"",""47.52"","""","""""
"05/04/2024 18:00:00 - 05/04/2024 19:00:00,""BZN|NO3"",""Without Sequence"",""49.65"","""","""""
